Particle,Count,WeightedCount,Z,A,MaxLET_MeV_cm2_mg,MeanLET_MeV_cm2_mg
alpha,1570.0,1.511349620354,2.0,4.0,6.33042,0.5003451239614517
Si27,889.0,0.8555553668979999,14.0,27.0,11.8479,5.76737393744709
Al27,876.0,0.843984156,13.0,27.0,12.0991,5.897812882820845
Al26,762.0,0.7339932730000001,13.0,26.0,11.7912,6.0174749834702626
Al26[228.30500],635.0,0.6116616189999999,13.0,26.0,11.0736,6.055946640614653
Mg26,587.0,0.565443264,12.0,26.0,11.2479,5.997369553055178
Si28,561.0,3.5442122368870006,14.0,28.0,11.3073,2.9932913084542134
Mg25,534.0,0.512401105657,12.0,25.0,11.5294,6.110848718819791
Mg24,298.0,0.287088196,12.0,24.0,11.9854,6.4294545809565955
deuteron,293.0,0.282415992,1.0,2.0,0.440953,0.057146927930373244
Na23,237.0,0.22831770099999998,11.0,23.0,11.962,6.140345539189319
He3,145.0,0.13976518599999999,2.0,3.0,2.27791,0.28722660740456063
C12,136.0,0.13108064800000002,6.0,12.0,9.80516,4.2324453611786375
Ne20,120.0,0.11561571600000001,10.0,20.0,11.5871,6.7297284778214745
O16,75.0,0.072272841,8.0,16.0,11.7052,5.610674292326213
O15,68.0,0.065540196,8.0,15.0,10.8365,5.241627353310326
Mg23,49.0,0.047205570999999995,12.0,23.0,10.6027,7.009308798443303
Si29,43.0,0.041437171,14.0,29.0,10.1126,5.021328174151656
Al28,41.0,0.039493016,13.0,28.0,10.7327,5.547642421689952
N14,38.0,0.036625290000000005,7.0,14.0,6.82268,4.210510045027302
Ne22,37.0,0.035645159999999995,10.0,22.0,8.76205,6.189875267874236
Na22,34.0,0.032751969,11.0,22.0,10.8499,6.473880829816675
Al25,27.0,0.026002521999999997,13.0,25.0,10.8926,6.384898755524563
N15,25.0,0.024095525,7.0,15.0,6.73335,5.1110726196681755
triton,24.0,0.023131835000000003,1.0,3.0,0.243543,0.08558088389117549
Si26,23.0,0.022154119000000003,14.0,26.0,11.8008,6.938445151581518
P28,23.0,0.022164601000000003,15.0,28.0,11.304,5.730588507439858
B10,18.0,0.017348842,5.0,10.0,6.33119,3.167022442109623
Na22[583.05000],18.0,0.017342055,11.0,22.0,8.77981,5.891339542912303
C11,17.0,0.016384982,6.0,11.0,5.53662,4.279932084832319
C13,16.0,0.015421231,6.0,13.0,5.69538,4.27282940164634
Si30,12.0,0.010602247740000001,14.0,30.0,10.5943,3.921651892512653
Ne21,11.0,0.010596936,10.0,21.0,9.89186,6.385439690579428
Li6,8.0,0.007714054,3.0,6.0,2.75546,1.457483460436756
Be7,5.0,0.004819259,4.0,7.0,2.93101,1.5910938921336244
B11,5.0,0.004819109,5.0,11.0,4.36378,3.1650891961626098
Na24,4.0,0.0038541879999999997,11.0,24.0,7.98255,4.193475109453406
Na24[472.20710],3.0,0.002887217,11.0,24.0,7.58419,6.597222247066986
Al24[425.81000],3.0,0.002889246,13.0,24.0,11.0465,8.964733615749577
Al29,3.0,0.002891055,13.0,29.0,7.73046,6.445178615975828
C14,2.0,0.001927655,6.0,14.0,3.80896,3.7696460809480947
F18,1.0,0.000963835,9.0,18.0,3.88258,3.88258
N12,1.0,0.000963825,7.0,12.0,3.40796,3.40796
N13,1.0,0.000963827,7.0,13.0,5.29521,5.29521
Na25,1.0,0.000964001,11.0,25.0,8.21203,8.21203
Mg28,1.0,0.000962172,12.0,28.0,7.47059,7.47059
P30,1.0,0.00096355,15.0,30.0,3.87292,3.87292
P29,1.0,0.000963561,15.0,29.0,3.53934,3.53934
