EventID,Particle,Z,A,Edep_keV,StepLength_um,LET_MeV_cm2_mg,TrackID,ParentID,Process,Position_X_um,Position_Y_um,Position_Z_um,EventWeight
2694,Mg26,12,26,94.8022,0.0525904,7.73671,3,1,Transportation,-0.0893139,0.0887965,0,0.000963017
13759,Al26,13,26,44.8042,0.0510202,3.76895,2,1,Transportation,0.0472438,-0.0225154,0,0.000960944
30636,Al26,13,26,70.7324,0.0392545,7.73344,2,1,Transportation,-0.0208933,0.0948879,-0.00630596,0.000962358
40518,Al26,13,26,6.75742,0.00744257,3.89674,4,1,Transportation,-0.0987234,0.0656125,0.0215029,0.000963996
49486,C12,6,12,2.64456,0.00780416,1.45436,4,1,ionIoni,-0.0213581,-0.0966932,-0.0214163,0.000963851
49486,C12,6,12,1.32696,0.00296273,1.92225,4,1,ionIoni,-0.0212715,-0.0939311,-0.0149995,0.000963851
49486,C12,6,12,1.70144,0.00312275,2.33842,4,1,ionIoni,-0.0212335,-0.0927284,-0.0122047,0.000963851
49486,C12,6,12,2.59896,0.00626792,1.77959,4,1,ionIoni,-0.0211749,-0.0908728,-0.00789204,0.000963851
49486,C12,6,12,12.8471,0.0159985,3.44642,4,1,ionIoni,-0.0210376,-0.0864724,0.00233372,0.000963851
49486,C12,6,12,8.59063,0.00677831,5.43936,4,1,ionIoni,-0.0208963,-0.0819706,0.0127937,0.000963851
49486,C12,6,12,5.11012,0.00624186,3.51367,4,1,ionIoni,-0.0208143,-0.0793963,0.0187725,0.000963851
49486,C12,6,12,0.417331,0.00172409,1.03888,4,1,ionIoni,-0.0207645,-0.0778207,0.0224303,0.000963851
49560,Mg26,12,26,83.9177,0.0502661,7.16511,2,1,Transportation,0.0042023,-0.0129637,0,0.000963508
60044,Si27,14,27,102.56,0.0538986,8.16662,4,1,Transportation,-0.0260933,0.0275018,0,0.00096371
70883,alpha,2,4,0.962688,0.0392493,0.105268,4,1,ionIoni,0.0113873,-0.0927443,0.00953428,0.000964138
70883,alpha,2,4,0.618458,0.0242045,0.109662,4,1,Transportation,-0.00801729,-0.0904953,-0.0154657,0.000964138
115120,Mg25,12,25,6.85981,0.0047518,6.19581,2,1,Transportation,0.0672213,0.0582609,0.0226827,0.000964004
115236,Si28,14,28,5.94433,0.00446522,5.71353,3,1,Transportation,0.0565401,-0.0328041,0.0238048,0.000964011
139385,Al27,13,27,82.3839,0.043275,8.17052,4,1,Transportation,0.0871815,0.0177668,-0.00907105,0.000963481
147915,Al27,13,27,17.6446,0.0233936,3.23712,3,1,Transportation,0.0555262,0.0918146,-0.0173072,0.000963736
167697,Mg26,12,26,90.3873,0.05008,7.74617,2,1,Transportation,0.0571333,0.0308053,0,0.000961897
184958,Ne20,10,20,95.8861,0.05325,7.72823,2,1,Transportation,0.0655832,-0.0659101,0,0.000962442
250597,Mg26,12,26,57.5764,0.0344952,7.16358,3,1,Transportation,0.00235105,0.0920219,-0.00977802,0.000963205
272663,O15,8,15,76.8526,0.0612063,5.38898,3,1,Transportation,0.0229436,0.0542935,0,0.00096379
284564,Al26[228.30500],13,26,134.475,0.0710744,8.12031,4,1,Transportation,-0.0134236,0.0363421,0,0.000963685
305327,Si27,14,27,40.5328,0.0515233,3.37634,4,1,Transportation,0.0857185,0.0118543,0,0.000962881
326404,Mg25,12,25,95.4408,0.0510199,8.02858,3,1,Transportation,-0.00376411,0.0928144,-0.000946538,0.000962885
361564,alpha,2,4,2.64819,0.0614847,0.184853,3,1,Transportation,0.0312037,0.0473243,0,0.0009641
406885,Si27,14,27,141.522,0.0625204,9.71505,4,1,Transportation,-0.000688157,0.0675729,0,0.000963232
430878,alpha,2,4,1.17233,0.0432984,0.116205,6,1,Transportation,0.0515113,-0.0855372,-0.00893773,0.000963794
